OH,OWB,ICB,OCB
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
20,5,256,116
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
80,16,64,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
20,8,32,32
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
19,6,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
4,7,64,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
8,4,128,128
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
39,26,16,32
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
4,5,256,512
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
60,32,32,32
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
10,2,64,8
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
9,2,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
16,32,64,16
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
29,8,32,32
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
4,3,384,256
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
320,80,1,16
